movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date
,,"Dev Patel, Sharlto Copley, Pitobash, Sobhita Dhulipala, Adithi Kalkunte, Sikandar Kher, Brahim Chab, Vipin Sharma, Jino A. Samuel, Joseph J.U. Taylor, Nagesh Bhonsle, Alona Vykydanets, Reva Marchellin, Anup J. Patel, Andres Levi, Dayangku Zyana, Jeremy Tauziac, Fahad Scale","Action, Thriller","États-Unis, Canada, Singapour, Inde",Dev Patel,tt9214772,70,460,46,7.6,121,,"Universal Pictures, BRON Studios, Creative Wealth Media Finance",Un jeune homme anonyme lance une campagne de vengeance contre les dirigeants corrompus qui ont assassiné sa mère et qui continuent à victimiser systématiquement les pauvres et les impuissants.,Monkey Man,https://www.imdb.com/title/tt9214772/?ref_=rlm,,17-04-2024
,,"Simon Astier, Lily Aubry, Sébastien Chassagne, Charlotte Gainsbourg, José Garcia, Hadrien Heaulme, Jiselle Henderkott, Kevin Ke, Baptiste Lecaplain, Adrien Ménielle, Jérôme Niel, Luis Rego, Lyès Salem",Comédie,France,Florent Bernard,tt28480619,,17,,8.0,102,,"Apollo Films, Nolita Cinema, TF1 Films Production",Un homme emmène sa femme et leurs enfants adolescents dans un voyage de souvenirs alors qu'il est sur le point de divorcer.,"Nous, Les Leroy",https://www.imdb.com/title/tt28480619/?ref_=rlm,,10-04-2024
,,"Rachel Zegler, Gal Gadot, Andrew Burnap, Ansu Kabia, Colin Michael Carmichael, Luisa Guerreiro, Eddison Burch, Dean Nolan, Leon Ung, Dujonna Gift, Kathryn Akin, Jon-Scott Clark, Kat Collings, Gabriela Garcia, Joshmaine Joseph, Stanley Duventru-Huret, Alison Eager, Jackson Osegbo-King","Aventure, Drame, Famille","États-Unis, Italie, Royaume-Uni",Marc Webb,tt6208148,,,1448,,, Snow White,"Marc Platt Productions, The Walt Disney Company, Walt Disney Pictures","Adaptation en prise de vue réelle du film d'animation Disney de 1937 ""Blanche-Neige et les sept nains"".",Blanche-Neige,https://www.imdb.com/title/tt6208148/?ref_=rlm,,20-03-2025
,,"Ian Boechat, Kaique Brito, Erom Cordeiro, Lucas da Silva, Maya de Vicq, Alaylson Emanuel, Ivana Iza, Maeve Jinkings, Eduarda Samara, Elany Santos",Drame,"Brésil, France, Italie","Nara Normande, Tião",tt26245778,,104,,7.3,91, Sem Coração,"Les Valseurs, Nefertiti Film, CinemaScópio","Summer 1996, Brazil. Tamara is enjoying her last weeks at the village she lives in before departing to Brasilia. One day, she hears about a teenager nicknamed Heartless. During the summer, Tamara feels a growing attraction for this girl.",Sans Coeur,https://www.imdb.com/title/tt26245778/?ref_=rlm,,10-04-2024
,,"Xavier-Adrien Laurent, Marc Dujarric, Michèle Brousse, Xavier Mussel, Yves Capus, Anne-Capucine Blot, Léo Aguiton, Philippe Saïd, Jean-Claude Bohbote, Jean-Yves Duparc, Damien Le Moing, Antonin Dobrowolska, Lucas Villepelet, Jean-Marie Bourcier, Raul Fokoua, Rémi Guelfi, Belen Lorenzo, Laurent Levy",Comédie,Suisse,Xavier Mussel,tt26605836,,,,,72,,Parallaxe films,"Le tournage rocambolesque d'une équipe de cinéma, embarquée dans une maison de campagne par un cinéaste idéaliste, qui projette de faire un film sans scénario, au gré du hasard.",Le Naméssime,https://www.imdb.com/title/tt26605836/?ref_=rlm,,10-04-2024
,1417000,"Majd Mastoura, Walid Bouchhioua, Samer Bisharat, Selma Zghidi, Helmi Dridi, Wissem Belgharak, Ayoub Hedhili, Mondher Chouchen, Amel Karray, Ammar Chikha, Rania Agrebi, Mahmoud Said, Walid Bel Haj Ammar, Jasser Oueslati, Yosra Rebai, Mouna Bel Haj Zekri, Ala Hamed, Bilel Ben Ghorbel",Drame,"Tunisie, Belgique, France, Italie, Arabie saoudite, Qatar",Mohamed Ben Attia,tt26771225,,79,,6.4,98, Oura El Jbel,"Nomadis Images, Les Films du Fleuve, Tanit","A man who violently breaks free from his banal environment, evading society with its principles, codes and institutions.",Par-Delà Les Montagnes,https://www.imdb.com/title/tt26771225/?ref_=rlm,,10-04-2024
,,"Ben Schwartz, ""Colleen OShaughnessey"", Idris Elba, Cristo Fernández, Tika Sumpter, Tom Butler, James Marsden, Alyla Browne, Jim Carrey, Lee Majdoub, Krysten Ritter, Sofia Pernas, James Wolk, Jorma Taccone, Tony McCarthy, Alfredo Tavares, Andy M Milligan, Nathan Hall","Action, Aventure, Comédie","États-Unis, Japon",Jeff Fowler,tt18259086,,,1065,,, Sonic The Hedgehog 3,"Paramount Pictures, Sega Sammy Group, Original Film","Sonic, Tails et Knuckles affronteront le Dr. Eggman avant qu'il ne conquière le monde. Eggman aura un nouvel allié (Project Shadow).","Sonic 3, Le Film",https://www.imdb.com/title/tt18259086/?ref_=rlm,,18-12-2024
64120,,"Karin Anglin, Clé Bennett, John Eric Bentley, Diontae Black, Róbert Bolla, Péter Bozsó, Lorne Cardinal, Csaba Debreczeny, Álmos Elõd, András Faragó, Bill Farmer, Áron Gauder, Armand Kautzky, Luca Kis-Kovács, R. Martin Klein, Danny Kramer, Priscilla Landham, David Mattle","Animation, Action, Aventure",Hongrie,Áron Gauder,tt11736638,,400,,7.4,103, Kojot Négy Lelke,Cinemon Entertainment,"Native American protesters confront an oil pipeline project, down the hill from their ancestral land. The grandfather evokes the tale of Creation, reminding all of us that we need to find our place in the great circle of creatures.",Les 4 Âmes Du Coyote,https://www.imdb.com/title/tt11736638/?ref_=rlm,,10-04-2024
,,"Jackie Chan, Joshua Jackson, Ming-Na Wen, Ralph Macchio, Sadie Stanley, Ben Wang","Action, Drame, Famille",États-Unis,Jonathan Entwistle,tt1674782,,,1749,,, Untitled Karate Kid Movie,"Columbia Pictures, Jerry Weintraub Productions, Sony Pictures Releasing",Plot under wraps.,Karate Kid,https://www.imdb.com/title/tt1674782/?ref_=rlm,,18-12-2024
,150000000,"Mark Ruffalo, Robert Pattinson, Toni Collette, Steven Yeun, Naomi Ackie, Thomas Turgoose, Steve Park, Daniel Henshall, Patsy Ferran, Chelsea Li, Spike White, Stuart Whelan, Sam Woodhams, Liam Edwards, Michael Monroe, Jamila Wingett, Tom Cawte, Valerie Hazan","Aventure, Drame, Science-fiction","États-Unis, Royaume-Uni",Bong Joon Ho,tt12299608,,,2020,,139,,"Kate Street Picture Company, Offscreen, Plan B Entertainment","Pour éviter que Mickey8, son clone de remplacement, ne prenne sa place, Mickey7, un robot appelé ""sacrifiable"", est envoyé sur une planète froide pour la coloniser.",Mickey 17,https://www.imdb.com/title/tt12299608/?ref_=rlm,,29-01-2025
