iter	Passed	Remaining
282	21988	55708
283	22050	55592
284	22120	55494
285	22195	55410
286	22270	55326
287	22334	55215
288	22397	55102
289	22459	54986
290	22523	54877
291	22584	54760
292	22664	54687
293	22725	54573
294	22805	54501
295	22884	54427
296	22961	54350
297	23025	54242
298	23098	54153
299	23185	54098
300	23249	53990
301	23312	53882
302	23384	53790
303	23453	53695
304	23514	53582
305	23579	53477
306	23631	53344
307	23704	53258
308	23786	53191
309	23862	53114
310	23928	53011
311	23992	52906
312	24068	52828
313	24140	52739
314	24242	52717
315	24284	52565
316	24349	52463
317	24432	52399
318	24525	52356
319	24589	52253
320	24630	52100
321	24698	52005
322	24768	51914
323	24856	51861
324	24966	51853
325	25044	51779
326	25110	51679
327	25175	51578
328	25255	51509
329	25327	51422
330	25402	51342
331	25466	51239
332	25545	51168
333	25622	51090
334	25705	51027
335	25767	50922
336	25846	50849
337	25910	50747
338	25987	50671
339	26065	50598
340	26145	50528
341	26198	50405
342	26274	50327
343	26368	50283
344	26428	50176
345	26488	50067
346	26554	49972
347	26619	49873
348	26680	49767
349	26767	49711
350	26839	49626
351	26933	49582
352	26997	49481
353	27068	49395
354	27138	49307
355	27200	49205
356	27266	49109
357	27329	49009
358	27410	48942
359	27470	48836
360	27546	48759
361	27613	48666
362	27671	48559
363	27733	48457
364	27798	48361
365	27866	48272
366	28002	48298
367	28079	48223
368	28158	48152
369	28232	48071
370	28317	48009
371	28380	47911
372	28441	47808
373	28511	47722
374	28596	47661
375	28680	47597
376	28733	47483
377	28818	47421
378	28886	47330
379	28969	47266
380	29042	47185
381	29105	47086
382	29170	46992
383	29231	46892
384	29294	46795
385	29355	46695
386	29419	46600
387	29513	46551
388	29589	46475
389	29656	46385
390	29716	46284
391	29794	46211
392	29856	46113
393	29920	46019
394	29996	45944
395	30062	45852
396	30113	45739
397	30179	45648
398	30251	45566
399	30308	45462
400	30376	45375
401	30455	45304
402	30519	45210
403	30598	45139
404	30662	45047
405	30756	44999
406	30866	44972
407	30944	44900
408	31025	44832
409	31076	44720
410	31139	44625
411	31211	44544
412	31281	44460
413	31385	44425
414	31448	44331
415	31506	44230
416	31573	44141
417	31636	44049
418	31713	43975
419	31778	43884
420	31857	43814
421	31917	43716
422	31997	43646
423	32078	43577
424	32156	43505
425	32218	43411
426	32283	43322
427	32363	43251
428	32425	43158
429	32488	43066
430	32556	42980
431	32629	42902
432	32707	42829
433	32770	42737
434	32835	42648
435	32897	42555
436	32968	42474
437	33057	42415
438	33118	42322
439	33182	42232
440	33262	42162
441	33341	42092
442	33406	42002
443	33485	41932
444	33548	41841
445	33627	41770
446	33705	41698
447	33783	41626
448	33859	41551
449	33924	41463
450	34019	41411
451	34112	41357
452	34224	41326
453	34286	41234
454	34364	41162
455	34427	41070
456	34505	40999
457	34600	40945
458	34663	40856
459	34724	40763
460	34787	40673
461	34852	40585
462	34932	40515
463	34994	40424
464	35058	40336
465	35138	40265
466	35217	40194
467	35279	40103
468	35366	40041
469	35451	39977
470	35516	39889
471	35595	39818
472	35673	39746
473	35737	39657
474	35802	39570
475	35879	39497
476	35959	39427
477	36022	39338
478	36102	39267
479	36179	39194
480	36258	39122
481	36368	39085
482	36432	38996
483	36501	38914
484	36584	38847
485	36681	38794
486	36761	38723
487	36824	38635
488	36903	38563
489	37003	38514
490	37108	38469
491	37187	38397
492	37266	38324
493	37334	38240
494	37416	38172
495	37488	38093
496	37591	38045
497	37692	37995
498	37757	37908
499	37828	37828
500	37913	37762
501	37992	37689
502	38072	37618
503	38137	37532
504	38231	37474
505	38305	37397
506	38385	37325
507	38451	37240
508	38511	37149
509	38575	37062
510	38639	36975
511	38696	36882
512	38781	36815
513	38860	36743
514	38956	36686
515	39034	36613
516	39128	36555
517	39191	36468
518	39270	36395
519	39348	36321
520	39459	36278
521	39523	36192
522	39599	36116
523	39684	36049
524	39771	35983
525	39866	35925
526	39976	35879
527	40123	35867
528	40262	35848
529	40344	35777
530	40455	35732
531	40578	35697
532	40674	35637
533	40803	35607
534	40876	35528
535	40947	35447
536	41061	35403
537	41165	35350
538	41261	35290
539	41372	35242
540	41458	35174
541	41571	35128
542	41650	35054
543	41735	34984
544	41832	34924
545	41912	34850
546	41992	34775
547	42066	34696
548	42148	34624
549	42246	34565
550	42319	34485
551	42416	34425
552	42499	34353
553	42572	34273
554	42640	34189
555	42720	34114
556	42859	34087
557	42921	33998
558	42983	33910
559	43072	33842
560	43170	33782
561	43281	33732
562	43358	33654
563	43426	33571
564	43497	33489
565	43608	33438
566	43687	33362
567	43765	33286
568	43860	33223
569	43939	33147
570	44017	33070
571	44110	33005
572	44173	32918
573	44253	32843
574	44330	32766
575	44410	32690
576	44477	32606
577	44538	32517
578	44602	32430
579	44665	32343
580	44743	32267
581	44823	32192
582	44886	32105
583	44947	32017
584	45025	31941
585	45119	31876
586	45197	31800
587	45276	31724
588	45335	31634
589	45403	31551
590	45482	31476
591	45562	31401
592	45657	31336
593	45736	31260
594	45818	31187
595	45879	31099
596	45958	31023
597	46036	30947
598	46132	30883
599	46243	30829
600	46335	30762
601	46400	30676
602	46476	30598
603	46542	30514
604	46607	30429
605	46665	30340
606	46728	30254
607	46824	30189
608	46903	30113
609	46972	30031
610	47054	29957
611	47158	29897
612	47236	29821
613	47314	29745
614	47378	29659
615	47455	29582
616	47533	29506
617	47600	29423
618	47660	29335
619	47739	29259
620	47818	29183
621	47881	29098
622	47952	29017
623	48040	28947
624	48101	28860
625	48163	28774
626	48261	28710
627	48339	28634
628	48419	28558
629	48487	28476
630	48561	28398
631	48628	28315
632	48692	28230
633	48781	28161
634	48858	28083
635	48930	28004
636	49004	27925
637	49097	27857
638	49221	27807
639	49284	27722
640	49347	27637
641	49441	27570
642	49503	27485
643	49580	27407
644	49673	27339
645	49755	27265
646	49826	27184
647	49890	27100
648	49964	27022
649	50032	26940
650	50109	26863
651	50187	26787
652	50251	26703
653	50330	26627
654	50455	26575
655	50521	26493
656	50583	26408
657	50674	26338
658	50738	26254
659	50816	26178
660	50887	26098
661	50991	26034
662	51070	25958
663	51149	25882
664	51210	25797
665	51283	25718
666	51372	25647
667	51441	25566
668	51512	25486
669	51573	25401
670	51652	25325
671	51713	25240
672	51782	25160
673	51853	25080
674	51915	24996
675	51977	24912
676	52055	24835
677	52118	24752
678	52188	24672
679	52259	24592
680	52339	24517
681	52419	24441
682	52483	24359
683	52547	24276
684	52609	24192
685	52671	24109
686	52752	24034
687	52814	23950
688	52874	23866
689	52971	23798
690	53038	23717
691	53098	23633
692	53160	23550
693	53240	23474
694	53303	23392
695	53366	23309
696	53430	23227
697	53498	23147
698	53589	23076
699	53682	23006
700	53776	22937
701	53839	22854
702	53918	22779
703	53997	22703
704	54060	22621
705	54121	22537
706	54185	22456
707	54249	22373
708	54326	22297
709	54382	22212
710	54467	22139
711	54547	22063
712	54608	21981
713	54697	21909
714	54766	21830
715	54829	21747
716	54890	21665
717	54957	21584
718	55019	21502
719	55098	21427
720	55166	21347
721	55269	21281
722	55334	21200
723	55428	21130
724	55509	21055
725	55568	20971
726	55664	20902
727	55744	20827
728	55855	20763
729	55933	20687
730	55995	20605
731	56059	20524
732	56122	20442
733	56184	20361
734	56263	20285
735	56325	20203
736	56435	20139
737	56498	20057
738	56561	19976
739	56657	19906
740	56721	19825
741	56796	19748
742	56862	19668
743	56924	19586
744	57018	19516
745	57112	19445
746	57175	19364
747	57237	19283
748	57325	19210
749	57413	19137
750	57491	19061
751	57569	18985
752	57632	18904
753	57695	18823
754	57756	18742
755	57839	18667
756	57900	18586
757	57971	18507
758	58067	18437
759	58152	18364
760	58249	18293
761	58344	18223
762	58407	18142
763	58470	18061
764	58534	17981
765	58600	17901
766	58691	17829
767	58786	17758
768	58850	17678
769	58914	17597
770	58977	17517
771	59039	17436
772	59111	17358
773	59198	17285
774	59262	17205
775	59324	17124
776	59392	17045
777	59468	16969
778	59530	16888
779	59594	16808
780	59667	16731
781	59753	16657
782	59815	16577
783	59894	16501
784	59958	16421
785	60022	16342
786	60088	16262
787	60161	16185
788	60233	16108
789	60304	16030
790	60368	15950
791	60445	15874
792	60525	15799
793	60588	15719
794	60652	15639
795	60734	15565
796	60825	15492
797	60890	15413
798	60950	15333
799	61016	15254
800	61076	15173
801	61172	15102
802	61250	15026
803	61346	14955
804	61427	14880
805	61501	14803
806	61568	14724
807	61632	14645
808	61725	14572
809	61805	14497
810	61867	14418
811	61930	14338
812	61994	14259
813	62054	14179
814	62150	14107
815	62213	14028
816	62276	13949
817	62340	13870
818	62408	13792
819	62480	13715
820	62546	13636
821	62641	13564
822	62735	13492
823	62799	13413
824	62860	13334
825	62925	13255
826	63004	13179
827	63065	13100
828	63133	13022
829	63210	12946
830	63273	12867
831	63336	12789
832	63415	12713
833	63478	12634
834	63547	12557
835	63621	12480
836	63700	12405
837	63763	12326
838	63839	12250
839	63907	12172
840	64017	12103
841	64099	12028
842	64193	11955
843	64276	11880
844	64347	11803
845	64418	11726
846	64524	11655
847	64664	11590
848	64728	11512
849	64806	11436
850	64869	11357
851	64932	11279
852	65013	11203
853	65073	11125
854	65139	11047
855	65202	10968
856	65269	10890
857	65326	10811
858	65393	10734
859	65456	10655
860	65522	10577
861	65660	10511
862	65724	10433
863	65805	10358
864	65880	10281
865	65958	10205
866	66036	10130
867	66098	10051
868	66193	9978
869	66255	9900
870	66320	9822
871	66382	9744
872	66451	9667
873	66520	9589
874	66588	9512
875	66681	9438
876	66759	9363
877	66821	9285
878	66901	9209
879	66966	9131
880	67057	9057
881	67123	8980
882	67187	8902
883	67247	8824
884	67312	8746
885	67379	8669
886	67438	8591
887	67501	8513
888	67566	8436
889	67648	8361
890	67741	8287
891	67802	8209
892	67881	8133
893	67945	8056
894	68006	7978
895	68071	7901
896	68164	7827
897	68242	7751
898	68305	7673
899	68370	7596
900	68438	7519
901	68526	7445
902	68615	7370
903	68685	7293
904	68747	7216
905	68811	7139
906	68876	7062
907	68968	6987
908	69037	6911
909	69125	6836
910	69189	6759
911	69250	6682
912	69314	6605
913	69379	6528
914	69439	6450
915	69518	6375
916	69613	6300
917	69692	6225
918	69788	6151
919	69862	6074
920	69932	5998
921	70009	5922
922	70089	5847
923	70153	5770
924	70231	5694
925	70342	5621
926	70434	5546
927	70531	5472
928	70610	5396
929	70720	5323
930	70814	5248
931	70894	5172
932	70973	5096
933	71036	5019
934	71145	4945
935	71207	4868
936	71274	4792
937	71352	4716
938	71431	4640
939	71494	4563
940	71605	4489
941	71682	4413
942	71760	4337
943	71824	4260
944	71886	4183
945	72012	4110
946	72075	4033
947	72154	3957
948	72233	3881
949	72300	3805
950	72374	3729
951	72453	3653
952	72546	3577
953	72642	3502
954	72721	3426
955	72784	3349
956	72846	3273
957	72909	3196
958	72969	3119
959	73041	3043
960	73114	2967
961	73177	2890
962	73243	2814
963	73302	2737
964	73383	2661
965	73446	2585
966	73525	2509
967	73595	2432
968	73672	2356
969	73773	2281
970	73845	2205
971	73938	2129
972	74016	2053
973	74082	1977
974	74189	1902
975	74268	1826
976	74332	1749
977	74395	1673
978	74473	1597
979	74552	1521
980	74647	1445
981	74708	1369
982	74778	1293
983	74916	1218
984	74978	1141
985	75040	1065
986	75105	989
987	75170	913
988	75226	836
989	75296	760
990	75360	684
991	75423	608
992	75485	532
993	75564	456
994	75657	380
995	75737	304
996	75805	228
997	75895	152
998	75962	76
999	76021	0
