iter	RMSE
169	179803.7191
170	179528.8041
171	179442.8167
172	179441.8031
173	178983.3549
174	178940.7651
175	178332.2764
176	178290.5511
177	177780.5855
178	177413.7832
179	176707.4267
180	176698.4615
181	176282.5173
182	175838.1898
183	175479.312
184	175012.91
185	174516.0673
186	173982.1137
187	173728.5987
188	173569.7063
189	173032.3848
190	172683.2792
191	172255.3784
192	172224.7036
193	172000.3359
194	171653.9926
195	171564.0758
196	170943.9553
197	170492.4398
198	169860.7434
199	169819.6632
200	169482.1647
201	169159.031
202	168700.7419
203	168641.0034
204	168205.0885
205	167768.4275
206	167595.3558
207	167215.9758
208	166675.2415
209	166428.5013
210	166349.9883
211	165988.6484
212	165818.056
213	165656.9266
214	165413.7234
215	165223.1674
216	164713.6198
217	164444.4135
218	164156.981
219	163815.1939
220	163531.2033
221	163220.4243
222	162948.5804
223	162851.5692
224	162675.3539
225	162605.4443
226	162508.993
227	162217.0882
228	162154.8038
229	161671.752
230	161276.7744
231	160969.2334
232	160568.9952
233	160530.8033
234	160299.222
235	160277.3653
236	159938.0235
237	159830.7826
238	159637.4764
239	159484.0478
240	159411.7012
241	159080.4754
242	158933.3611
243	158761.262
244	158723.1816
245	158581.2396
246	158355.964
247	158129.7083
248	157946.5673
249	157923.2965
250	157566.0682
251	157308.3123
252	157268.0798
253	156633.7808
254	156314.5827
255	155867.4467
256	155549.2606
257	155407.7853
258	155092.6004
259	155059.9997
260	154904.7547
261	154584.2803
262	154431.3027
263	153924.9165
264	153903.6128
265	153765.3963
266	153736.1878
267	153422.505
268	153410.8676
269	153184.5047
270	152802.0288
271	152609.7035
272	152441.743
273	152177.5585
274	151965.0761
275	151812.0943
276	151728.3564
277	151544.8817
278	151399.2767
279	151027.8945
280	150611.1377
281	150228.0378
282	150119.1761
283	149857.6088
284	149649.5888
285	149412.5723
286	149355.4956
287	148800.1371
288	148412.0957
289	148255.1567
290	148067.5997
291	147749.9446
292	147739.6345
293	147715.6054
294	147261.2048
295	147139.2179
296	146999.533
297	146520.0198
298	146321.1541
299	146203.57
300	146109.0364
301	146082.468
302	145983.8422
303	145734.8531
304	145334.4806
305	145211.3917
306	145015.6116
307	144844.6708
308	144533.0205
309	144511.925
310	144426.5303
311	144374.8384
312	144258.3344
313	144146.7814
314	144031.2645
315	143819.2712
316	143672.0716
317	143628.3728
318	143409.7233
319	143266.6656
320	143035.2785
321	142815.1671
322	142524.2792
323	142338.1783
324	142318.7745
325	142159.9432
326	141995.3569
327	141951.3859
328	141933.0285
329	141514.4505
330	141349.8511
331	141251.791
332	141161.3829
333	141052.3058
334	140923.4821
335	140754.8787
336	140576.7255
337	140345.6528
338	140109.881
339	139970.2832
340	139670.7091
341	139554.332
342	139412.2796
343	139128.7761
344	138938.8522
345	138712.7384
346	138624.2064
347	138270.5228
348	138041.8507
349	137954.2191
350	137726.3239
351	137662.3535
352	137565.6277
353	137210.6363
354	137195.2261
355	136963.1362
356	136905.3019
357	136719.3425
358	136570.4769
359	136312.3812
360	136049.5552
361	136009.0044
362	135845.4907
363	135768.6755
364	135614.8301
365	135443.184
366	135273.8645
367	135168.8135
368	135057.8693
369	134881.0298
370	134690.3448
371	134258.5768
372	134018.8745
373	133803.0585
374	133554.9094
375	133418.5972
376	133284.239
377	133206.3541
378	133090.3961
379	133012.7813
380	132778.3006
381	132617.4443
382	132337.835
383	132200.793
384	132071.4838
385	131808.107
386	131775.0167
387	131510.7754
388	131365.6375
389	131220.1443
390	130944.9776
391	130738.5836
392	130449.6435
393	130388.5767
394	130052.614
395	130014.7072
396	129915.7472
397	129642.7964
398	129542.3505
399	129332.3815
400	129052.4171
401	128941.5494
402	128744.7968
403	128603.5595
404	128451.086
405	128273.1666
406	128196.7387
407	128184.4056
408	128172.9387
409	128107.0438
410	128072.2044
411	127868.3246
412	127810.2753
413	127679.7366
414	127624.6855
415	127298.799
416	127157.8334
417	126916.1569
418	126762.0828
419	126478.1671
420	126389.8638
421	126238.4869
422	126072.3631
423	125826.152
424	125645.6908
425	125383.5786
426	125246.8336
427	125180.7368
428	125091.6864
429	124926.3166
430	124911.403
431	124888.4449
432	124642.0872
433	124504.3343
434	124241.6069
435	124027.0585
436	123717.7184
437	123547.8594
438	123458.0504
439	123366.3841
440	123248.3004
441	123087.458
442	122971.6587
443	122688.2809
444	122604.3372
445	122431.4548
446	122316.5916
447	122274.1706
448	122167.3701
449	122093.6355
450	122074.3211
451	121801.8032
452	121674.2342
453	121588.5626
454	121442.4254
455	121249.5005
456	120950.0529
457	120838.8037
458	120687.3725
459	120672.9558
460	120451.8813
461	120154.7687
462	120096.9903
463	120063.7808
464	119974.1156
465	119946.0835
466	119838.2518
467	119663.9913
468	119618.1581
469	119467.9768
470	119311.0263
471	119176.9403
472	119155.9653
473	119110.1347
474	119028.2401
475	118885.0197
476	118878.641
477	118844.248
478	118606.1319
479	118445.7077
480	118317.3008
481	118242.1764
482	118092.146
483	117948.7374
484	117886.6662
485	117754.1996
486	117628.3372
487	117419.4261
488	117267.4197
489	117116.3698
490	116983.975
491	116790.3075
492	116686.8064
493	116606.6006
494	116478.618
495	116229.759
496	115982.8816
497	115863.6239
498	115724.0452
499	115708.221
500	115364.4626
501	115147.226
502	114980.5816
503	114850.8092
504	114697.7168
505	114515.4072
506	114465.0403
507	114348.1787
508	114285.3949
509	114214.8899
510	114133.232
511	113957.0891
512	113855.4271
513	113575.3609
514	113316.9539
515	113163.0504
516	113079.7035
517	112988.5256
518	112668.8163
519	112450.4468
520	112279.328
521	112137.9495
522	111997.1078
523	111967.5009
524	111845.7092
525	111647.5009
526	111360.6516
527	111203.8356
528	111080.4233
529	110861.1357
530	110697.5833
531	110669.6728
532	110661.9054
533	110553.0514
534	110402.5172
535	110389.4857
536	110180.3195
537	109992.2551
538	109901.8953
539	109870.3309
540	109859.8022
541	109830.4444
542	109776.9592
543	109527.1486
544	109523.6197
545	109353.7002
546	109135.1472
547	109011.6708
548	108904.5206
549	108815.883
550	108660.9726
551	108638.3864
552	108602.8963
553	108555.0241
554	108474.1091
555	108364.5316
556	108334.0924
557	108186.8886
558	108057.9587
559	107982.2805
560	107845.3091
561	107731.8869
562	107658.0791
563	107541.6069
564	107433.8065
565	107417.6157
566	107256.1305
567	107199.403
568	107176.6762
569	107094.0253
570	106975.3778
571	106755.7069
572	106668.5538
573	106569.3109
574	106522.5067
575	106493.4669
576	106403.3267
577	106242.4018
578	106234.159
579	106152.4036
580	105923.6115
581	105914.8869
582	105799.9351
583	105716.411
584	105441.8416
585	105381.7156
586	105361.2522
587	105232.2925
588	105207.7158
589	105123.2663
590	105027.1618
591	104909.8551
592	104830.2597
593	104723.9075
594	104549.0276
595	104318.0805
596	104219.6546
597	104153.9646
598	104030.7116
599	103931.4806
600	103810.8262
601	103649.8509
602	103509.5701
603	103476.2491
604	103330.7866
605	103147.663
606	103045.9692
607	102888.3736
608	102842.3184
609	102772.6291
610	102674.6805
611	102535.3887
612	102451.5926
613	102445.1118
614	102319.4153
615	102130.9702
616	101975.9873
617	101860.8441
618	101546.7919
619	101493.0616
620	101482.3162
621	101373.4828
622	101271.0151
623	101135.737
624	100996.9962
625	100880.3578
626	100710.7708
627	100635.9018
628	100444.935
629	100405.6336
630	100359.5777
631	100288.4035
632	100205.2387
633	100202.3455
634	100061.3854
635	99878.69076
636	99732.94012
637	99520.2418
638	99407.91113
639	99391.81403
640	99245.22859
641	99206.98719
642	99009.8982
643	98996.48325
644	98981.39646
645	98954.19546
646	98826.57783
647	98722.62383
648	98616.66635
649	98528.64701
650	98434.64735
651	98312.32242
652	98284.18473
653	98083.65663
654	97941.89316
655	97848.2657
656	97781.69551
657	97607.19943
658	97547.93879
659	97464.1258
660	97432.6059
661	97314.81392
662	97281.39723
663	97136.94601
664	97015.06254
665	96798.11213
666	96765.69165
667	96736.20334
668	96642.19602
669	96468.7876
670	96313.74652
671	96173.25335
672	96096.75234
673	95995.72022
674	95934.29556
675	95810.50259
676	95712.22459
677	95561.99395
678	95349.38085
679	95231.8348
680	95099.30736
681	95009.82509
682	94915.66766
683	94845.13056
684	94816.11579
685	94749.94452
686	94639.71367
687	94545.10475
688	94497.53571
689	94402.44021
690	94328.17835
691	94164.82306
692	94049.26863
693	93974.56351
694	93897.52972
695	93785.74311
696	93696.97133
697	93547.54807
698	93498.13286
699	93397.89265
700	93347.89382
701	93315.90433
702	93264.44464
703	93205.37739
704	93084.015
705	93010.11565
706	92940.93724
707	92864.35211
708	92838.27169
709	92755.68381
710	92631.57912
711	92553.17162
712	92530.03372
713	92522.18447
714	92383.33186
715	92286.63033
716	92270.66563
717	92172.45774
718	92163.55932
719	92046.69837
720	91988.41549
721	91919.43078
722	91890.13787
723	91774.74484
724	91652.80477
725	91635.79368
726	91525.22186
727	91361.1175
728	91185.21214
729	91147.98016
730	91037.77514
731	90828.12435
732	90704.84671
733	90594.51787
734	90475.57204
735	90383.25027
736	90305.44062
737	90215.66395
738	90146.99256
739	90097.58909
740	90035.48173
741	89895.17894
742	89809.99639
743	89718.43715
744	89641.851
745	89574.26818
746	89510.92598
747	89442.37254
748	89356.11648
749	89228.19859
750	89060.18812
751	88990.76615
752	88834.87334
753	88675.25213
754	88571.33241
755	88520.1692
756	88455.83547
757	88388.21253
758	88346.72831
759	88312.04045
760	88282.10997
761	88147.20367
762	88063.30085
763	87988.37394
764	87830.75653
765	87756.07543
766	87647.8115
767	87497.91123
768	87459.77074
769	87398.73978
770	87282.5429
771	87151.19043
772	87084.71077
773	87058.48113
774	87002.78469
775	86923.24872
776	86867.66369
777	86865.02816
778	86786.96386
779	86704.07766
780	86582.7225
781	86501.01493
782	86449.40408
783	86422.50314
784	86379.85695
785	86292.21094
786	86260.81276
787	86247.99846
788	86187.54177
789	86134.77934
790	86071.30938
791	86010.3447
792	85922.90967
793	85825.47503
794	85668.93146
795	85610.48077
796	85569.5075
797	85491.18477
798	85389.74895
799	85283.42586
800	85148.59777
801	85011.04036
802	84955.72319
803	84911.46975
804	84902.27656
805	84776.0206
806	84720.22598
807	84659.99097
808	84527.9404
809	84395.95236
810	84307.17159
811	84252.08446
812	84143.82806
813	84082.32501
814	84014.42871
815	83930.43804
816	83782.64768
817	83713.69375
818	83643.43191
819	83499.65113
820	83438.95013
821	83417.29985
822	83262.15735
823	83215.13845
824	83208.01046
825	83134.21004
826	83130.77902
827	83058.13575
828	83050.73914
829	83035.99853
830	82967.1945
831	82928.50349
832	82828.78373
833	82815.01385
834	82684.61935
835	82601.10904
836	82512.66199
837	82499.50647
838	82455.12452
839	82321.34287
840	82255.16678
841	82116.48523
842	82065.32929
843	82044.30006
844	81998.71215
845	81839.98436
846	81814.10286
847	81739.09026
848	81662.29382
849	81483.03791
850	81332.83361
851	81302.44104
852	81271.79581
853	81151.5515
854	81102.32008
855	81041.77337
856	80996.31241
857	80859.63455
858	80769.27969
859	80722.68749
860	80611.89231
861	80497.18302
862	80435.74937
863	80333.12882
864	80254.11269
865	80158.85897
866	80119.84508
867	79953.59965
868	79921.39149
869	79865.73703
870	79678.56457
871	79562.22903
872	79471.29791
873	79431.55287
874	79329.82166
875	79253.07244
876	79250.70252
877	79199.32359
878	79133.45928
879	79077.75109
880	79014.12892
881	79005.10896
882	78978.63433
883	78942.31299
884	78906.87197
885	78837.65985
886	78768.88166
887	78697.18406
888	78637.47897
889	78544.70638
890	78430.69375
891	78375.98749
892	78287.69991
893	78279.16509
894	78185.85675
895	78103.98319
896	78090.91524
897	78007.04685
898	78003.91543
899	77963.65199
900	77898.86744
901	77821.82046
902	77735.1539
903	77696.85121
904	77694.30014
905	77658.41807
906	77619.7561
907	77580.56196
908	77470.81583
909	77425.59466
910	77359.86392
911	77323.89128
912	77274.05223
913	77215.54277
914	77139.81315
915	77015.59021
916	76990.93455
917	76904.01336
918	76804.14844
919	76778.64925
920	76771.54191
921	76701.34661
922	76674.21148
923	76668.41975
924	76591.97015
925	76582.02734
926	76565.20241
927	76500.82924
928	76391.68791
929	76311.6676
930	76287.2756
931	76284.81974
932	76210.88036
933	76134.35602
934	75973.11851
935	75894.81962
936	75807.30902
937	75703.69368
938	75690.56383
939	75624.07271
940	75575.57627
941	75539.33783
942	75536.82265
943	75480.00958
944	75461.68355
945	75360.40385
946	75328.9003
947	75261.79495
948	75227.61581
949	75221.76674
950	75168.27163
951	75105.15465
952	75085.19152
953	75027.70842
954	74874.25676
955	74755.46204
956	74683.28127
957	74637.47704
958	74567.63459
959	74488.70609
960	74463.21519
961	74395.58983
962	74294.08296
963	74269.88635
964	74214.74754
965	74210.39094
966	74132.14508
967	74085.5191
968	74053.46654
969	73990.62638
970	73888.45071
971	73811.58109
972	73785.71239
973	73768.36937
974	73757.12116
975	73739.12619
976	73733.83355
977	73592.66332
978	73560.44691
979	73508.31169
980	73438.743
981	73387.54422
982	73350.18177
983	73294.4699
984	73230.97646
985	73154.39387
986	73121.64906
987	73084.90655
988	73030.43483
989	72943.32052
990	72890.57109
991	72762.27282
992	72711.79801
993	72694.68365
994	72649.23265
995	72480.68913
996	72432.48599
997	72426.60581
998	72375.58389
999	72321.96193
