Unnamed: 0,Titre,Entrées,best_match,movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_poster,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date,year
907,9 Eva Europacorp Distribution Bande-Annonce,87 548,,,,,,,,,,,,,,,,,,,,,,
908,1 La Ch’Tite Famille Pathé Bande-Annonce,2 429 906,,,,,,,,,,,,,,,,,,,,,,
909,9 Hurricane Snd Bande-Annonce,138 886,,,,,,,,,,,,,,,,,,,,,,
910,10 Lady Bird Universal Pictures International France Bande-Annonce,133 169,,,,,,,,,,,,,,,,,,,,,,
911,6 La Forme De L'Eau - The Shape Of Water Twentieth Century Fox France Bande-Annonce,334 932,,,,,,,,,,,,,,,,,,,,,,
912,9 Les Aventures De Spirou Et Fantasio Sony Pictures Releasing France Bande-Annonce,145 435,,,,,,,,,,,,,,,,,,,,,,
913,10 Criminal Squad Metropolitan Filmexport Bande-Annonce,130 352,,,,,,,,,,,,,,,,,,,,,,
914,1 Black Panther The Walt Disney Company France Bande-Annonce,1 058 869,,,,,,,,,,,,,,,,,,,,,,
915,6 Le Retour Du Héros Studiocanal Bande-Annonce,372 856,,,,,,,,,,,,,,,,,,,,,,
916,8 L'Apparition Memento Distribution Bande-Annonce,150 810,,,,,,,,,,,,,,,,,,,,,,
917,10 Phantom Thread Universal Pictures International France Bande-Annonce,133 424,,,,,,,,,,,,,,,,,,,,,,
918,1 Cinquante Nuances Plus Claires Universal Pictures International France Bande-Annonce,1 257 650,,,,,,,,,,,,,,,,,,,,,,
919,3 Le Labyrinthe : Le Remède Mortel Twentieth Century Fox France Bande-Annonce,751 040,,,,,,,,,,,,,,,,,,,,,,
920,4 Le 15H17 Pour Paris Warner Bros. France Bande-Annonce,204 845,,,,,,,,,,,,,,,,,,,,,,
921,6 Cro Man Studiocanal Bande-Annonce,191 950,,,,,,,,,,,,,,,,,,,,,,
922,7 Jusqu’À La Garde Haut Et Court Bande-Annonce,122 946,,,,,,,,,,,,,,,,,,,,,,
923,8 Belle Et Sébastien 3: Le Dernier Chapitre Gaumont Distribution Bande-Annonce,103 902,,,,,,,,,,,,,,,,,,,,,,
924,10 Le Voyage De Ricky Paradis Films / Orange Studio Bande-Annonce,92 127,,,,,,,,,,,,,,,,,,,,,,
925,1 Les Tuche 3 Pathé Bande-Annonce,2 201 007,,,,,,,,,,,,,,,,,,,,,,
926,5 Wonder Wheel Mars Films Bande-Annonce,151 321,,,,,,,,,,,,,,,,,,,,,,
927,1 Pentagon Papers Universal Pictures International France Bande-Annonce,476 134,,,,,,,,,,,,,,,,,,,,,,
928,2 The Passenger Studiocanal Bande-Annonce,277 629,,,,,,,,,,,,,,,,,,,,,,
929,3 The Greatest Showman Twentieth Century Fox France Bande-Annonce,230 190,,,,,,,,,,,,,,,,,,,,,,
930,7 La Douleur Les Films Du Losange Bande-Annonce,109 144,,,,,,,,,,,,,,,,,,,,,,
931,1 Brillantissime Studiocanal Bande-Annonce,297 436,,,,,,,,,,,,,,,,,,,,,,
932,"3 3 Billboards, Les Panneaux De La Vengeance Twentieth Century Fox France Bande-Annonce",239 977,,,,,,,,,,,,,,,,,,,,,,
933,9 In The Fade Pathé Bande-Annonce,127 128,,,,,,,,,,,,,,,,,,,,,,
934,2 Downsizing Paramount Pictures France Bande-Annonce,273 989,,,,,,,,,,,,,,,,,,,,,,
935,4 Normandie Nue Snd Bande-Annonce,254 909,,,,,,,,,,,,,,,,,,,,,,
936,6 Insidious : La Dernière Clé Sony Pictures Releasing France Bande-Annonce,293 466,,,,,,,,,,,,,,,,,,,,,,
937,7 Le Grand Jeu Snd Bande-Annonce,262 258,,,,,,,,,,,,,,,,,,,,,,
938,9 Les Heures Sombres Universal Pictures International France Bande-Annonce,218 083,,,,,,,,,,,,,,,,,,,,,,
939,8 Momo Mars Films Bande-Annonce,328 156,,,,,,,,,,,,,,,,,,,,,,
940,10 Tout L'Argent Du Monde Metropolitan Filmexport Bande-Annonce,182 875,,,,,,,,,,,,,,,,,,,,,,
941,2 Jumanji : Bienvenue Dans La Jungle Sony Pictures Releasing France Bande-Annonce,623 931,,,,,,,,,,,,,,,,,,,,,,
942,4 Ferdinand Twentieth Century Fox France Bande-Annonce,455 707,,,,,,,,,,,,,,,,,,,,,,
943,8 La Promesse De L'Aube Pathé Bande-Annonce,250 088,,,,,,,,,,,,,,,,,,,,,,
944,9 Garde Alternée Wild Bunch Distribution Bande-Annonce,140 242,,,,,,,,,,,,,,,,,,,,,,
945,10 Tout Là-Haut Ugc Distribution Bande-Annonce,104 791,,,,,,,,,,,,,,,,,,,,,,
946,1 Star Wars - Les Derniers Jedi The Walt Disney Company France Bande-Annonce,2 510 462,,,,,,,,,,,,,,,,,,,,,,
947,3 Le Crime De L'Orient-Express Twentieth Century Fox France Bande-Annonce,351 400,,,,,,,,,,,,,,,,,,,,,,
948,6 La Deuxième Étoile Mars Films Bande-Annonce,161 366,,,,,,,,,,,,,,,,,,,,,,
949,2 Santa & Cie Gaumont Distribution Bande-Annonce,578 133,,,,,,,,,,,,,,,,,,,,,,
950,3 Paddington 2 Studiocanal Bande-Annonce,420 344,,,,,,,,,,,,,,,,,,,,,,
951,"4 Stars 80, La Suite Wild Bunch Distribution Bande-Annonce",178 540,,,,,,,,,,,,,,,,,,,,,,
952,8 Les Gardiennes Pathé Bande-Annonce,135 073,,,,,,,,,,,,,,,,,,,,,,
953,10 Bienvenue À Suburbicon Metropolitan Filmexport Bande-Annonce,102 006,,,,,,,,,,,,,,,,,,,,,,
954,1 Coco The Walt Disney Company France Bande-Annonce,948 846,,,,,,,,,,,,,,,,,,,,,,
955,3 C'Est Tout Pour Moi Ugc Distribution Bande-Annonce,250 306,,,,,,,,,,,,,,,,,,,,,,
956,5 La Villa Diaphana Distribution Bande-Annonce,193 463,,,,,,,,,,,,,,,,,,,,,,
957,6 Le Bonhomme De Neige Universal Pictures International France Bande-Annonce,121 112,,,,,,,,,,,,,,,,,,,,,,
958,2 Le Brio Pathé Bande-Annonce,412 414,,,,,,,,,,,,,,,,,,,,,,
959,5 L'Expérience Interdite - Flatliners Sony Pictures Releasing France Bande-Annonce,143 410,,,,,,,,,,,,,,,,,,,,,,
960,1 Justice League Warner Bros. France Bande-Annonce,834 493,,,,,,,,,,,,,,,,,,,,,,
961,3 Happy Birthdead Universal Pictures International France Bande-Annonce,230 654,,,,,,,,,,,,,,,,,,,,,,
962,10 L'Etoile De Noël Sony Pictures Releasing France Bande-Annonce,94 568,,,,,,,,,,,,,,,,,,,,,,
963,3 Jalouse Studiocanal Bande-Annonce,315 948,,,,,,,,,,,,,,,,,,,,,,
964,8 La Montagne Entre Nous Twentieth Century Fox France Bande-Annonce,129 306,,,,,,,,,,,,,,,,,,,,,,
965,10 Tout Nous Sépare Mars Films Bande-Annonce,101 574,,,,,,,,,,,,,,,,,,,,,,
966,4 Carbone Europacorp Distribution Bande-Annonce,334 791,,,,,,,,,,,,,,,,,,,,,,
967,7 Jigsaw Metropolitan Filmexport Bande-Annonce,302 467,,,,,,,,,,,,,,,,,,,,,,
968,9 Geostorm Warner Bros. France Bande-Annonce,235 162,,,,,,,,,,,,,,,,,,,,,,
969,1 Thor : Ragnarok The Walt Disney Company France Bande-Annonce,1 140 386,,,,,,,,,,,,,,,,,,,,,,
970,2 Epouse-Moi Mon Pote Studiocanal Bande-Annonce,970 435,,,,,,,,,,,,,,,,,,,,,,
971,3 Au Revoir Là-Haut Gaumont Distribution Bande-Annonce,550 185,,,,,,,,,,,,,,,,,,,,,,
972,5 Opération Casse-Noisette 2 Snd Bande-Annonce,385 048,,,,,,,,,,,,,,,,,,,,,,
973,4 Les Nouvelles Aventures De Cendrillon Pathé Bande-Annonce,347 327,,,,,,,,,,,,,,,,,,,,,,
974,5 Knock Mars Films Bande-Annonce,279 670,,,,,,,,,,,,,,,,,,,,,,
975,6 Le Monde Secret Des Emojis Sony Pictures Releasing France Bande-Annonce,258 815,,,,,,,,,,,,,,,,,,,,,,
976,1 Kingsman : Le Cercle D'Or Twentieth Century Fox France Bande-Annonce,641 173,,,,,,,,,,,,,,,,,,,,,,
977,3 L'Ecole Buissonnière Studiocanal Bande-Annonce,351 303,,,,,,,,,,,,,,,,,,,,,,
978,5 Coexister Europacorp Distribution Bande-Annonce,243 818,,,,,,,,,,,,,,,,,,,,,,
979,7 Lego Ninjago : Le Film Warner Bros. France Bande-Annonce,116 414,,,,,,,,,,,,,,,,,,,,,,
980,8 Detroit Mars Films Bande-Annonce,106 423,,,,,,,,,,,,,,,,,,,,,,
981,9 Numéro Une Pyramide Distribution Bande-Annonce,70 592,,,,,,,,,,,,,,,,,,,,,,
982,1 Le Sens De La Fête Gaumont Distribution Bande-Annonce,808 544,,,,,,,,,,,,,,,,,,,,,,
983,2 Blade Runner 2049 Sony Pictures Releasing France Bande-Annonce,544 508,,,,,,,,,,,,,,,,,,,,,,
984,5 Capitaine Superslip Twentieth Century Fox France Bande-Annonce,103 937,,,,,,,,,,,,,,,,,,,,,,
985,7 Confident Royal Universal Pictures International France Bande-Annonce,72 053,,,,,,,,,,,,,,,,,,,,,,
986,2 Le Petit Spirou La Belle Company / Apollo Films Bande-Annonce,224 512,,,,,,,,,,,,,,,,,,,,,,
987,6 Un Beau Soleil Intérieur Ad Vitam Bande-Annonce,130 835,,,,,,,,,,,,,,,,,,,,,,
988,1 Ça Warner Bros. France Bande-Annonce,908 589,,,,,,,,,,,,,,,,,,,,,,
989,3 Mon Garçon Diaphana Distribution Bande-Annonce,150 450,,,,,,,,,,,,,,,,,,,,,,
990,5 L'Un Dans L'Autre Universal Pictures International France Bande-Annonce,108 719,,,,,,,,,,,,,,,,,,,,,,
991,6 American Assassin Metropolitan Filmexport Bande-Annonce,104 402,,,,,,,,,,,,,,,,,,,,,,
992,8 Gauguin - Voyage De Tahiti Studiocanal Bande-Annonce,84 248,,,,,,,,,,,,,,,,,,,,,,
993,10 Faute D'Amour Pyramide Distribution Bande-Annonce,68 330,,,,,,,,,,,,,,,,,,,,,,
994,1 Barry Seal : American Traffic Universal Pictures International France Bande-Annonce,271 607,,,,,,,,,,,,,,,,,,,,,,
995,3 Mother! Paramount Pictures France Bande-Annonce,190 141,,,,,,,,,,,,,,,,,,,,,,
996,5 Les Grands Esprits Bac Films Bande-Annonce,104 837,,,,,,,,,,,,,,,,,,,,,,
997,9 Le Redoutable Studiocanal Bande-Annonce,72 473,,,,,,,,,,,,,,,,,,,,,,
998,10 Nos Années Folles Arp Sélection Bande-Annonce,66 095,,,,,,,,,,,,,,,,,,,,,,
999,2 Ôtez-Moi D'Un Doute Snd Bande-Annonce,249 649,,,,,,,,,,,,,,,,,,,,,,
1000,3 Barbara Gaumont Distribution Bande-Annonce,145 853,,,,,,,,,,,,,,,,,,,,,,
1001,1 Seven Sisters Snd Bande-Annonce,573 072,,,,,,,,,,,,,,,,,,,,,,
1002,8 Petit Paysan Pyramide Distribution Bande-Annonce,129 263,,,,,,,,,,,,,,,,,,,,,,
1003,4 Hitman & Bodyguard Metropolitan Filmexport Bande-Annonce,237 815,,,,,,,,,,,,,,,,,,,,,,
1004,5 120 Battements Par Minute Memento Distribution Bande-Annonce,220 069,,,,,,,,,,,,,,,,,,,,,,
1005,7 Les Proies Universal Pictures International France Bande-Annonce,177 256,,,,,,,,,,,,,,,,,,,,,,
1006,5 Atomic Blonde Universal Pictures International France Bande-Annonce,233 245,,,,,,,,,,,,,,,,,,,,,,
1007,6 Overdrive Océan Films Bande-Annonce,190 224,,,,,,,,,,,,,,,,,,,,,,
1008,9 Bigfoot Junior Studiocanal Bande-Annonce,143 026,,,,,,,,,,,,,,,,,,,,,,
1009,4 Annabelle 2 : La Création Du Mal Warner Bros. France Bande-Annonce,481 309,,,,,,,,,,,,,,,,,,,,,,
1010,7 La Tour Sombre Sony Pictures Releasing France Bande-Annonce,193 407,,,,,,,,,,,,,,,,,,,,,,
1011,9 Sleepless Paramount Pictures France Bande-Annonce,114 663,,,,,,,,,,,,,,,,,,,,,,
1012,1 La Planète Des Singes - Suprématie Twentieth Century Fox France Bande-Annonce,1 103 867,,,,,,,,,,,,,,,,,,,,,,
1013,2 Cars 3 The Walt Disney Company France Bande-Annonce,1 078 268,,,,,,,,,,,,,,,,,,,,,,
1014,1 Valérian Et La Cité Des Mille Planètes Europacorp Distribution Bande-Annonce,1 640 681,,,,,,,,,,,,,,,,,,,,,,
1015,5 Les As De La Jungle Snd Bande-Annonce,228 475,,,,,,,,,,,,,,,,,,,,,,
1016,7 I Wish - Faites Un Vœu Paramount Pictures France Bande-Annonce,167 240,,,,,,,,,,,,,,,,,,,,,,
1017,1 Dunkerque Warner Bros. France Bande-Annonce,925 204,,,,,,,,,,,,,,,,,,,,,,
1018,4 Baby Driver Sony Pictures Releasing France Bande-Annonce,302 528,,,,,,,,,,,,,,,,,,,,,,
1019,5 Sales Gosses Ugc Distribution Bande-Annonce,212 734,,,,,,,,,,,,,,,,,,,,,,
1020,7 La Colle Universal Pictures International France Bande-Annonce,102 968,,,,,,,,,,,,,,,,,,,,,,
1021,2 Spider-Man: Homecoming Sony Pictures Releasing France Bande-Annonce,981 189,,,,,,,,,,,,,,,,,,,,,,
1022,3 The Circle Mars Films Bande-Annonce,154 698,,,,,,,,,,,,,,,,,,,,,,
1023,7 Mission Pays Basque Paradis Films Bande-Annonce,74 976,,,,,,,,,,,,,,,,,,,,,,
1024,"1 Moi, Moche Et Méchant 3 Universal Pictures International France Bande-Annonce",1 928 940,,,,,,,,,,,,,,,,,,,,,,
1025,7 Les Hommes Du Feu Studiocanal Bande-Annonce,104 527,,,,,,,,,,,,,,,,,,,,,,
1026,10 Le Caire Confidentiel Memento Distribution Bande-Annonce,74 528,,,,,,,,,,,,,,,,,,,,,,
1027,1 Transformers: The Last Knight Paramount Pictures France Bande-Annonce,810 533,,,,,,,,,,,,,,,,,,,,,,
1028,6 Mon Poussin Ugc Distribution Bande-Annonce,186 948,,,,,,,,,,,,,,,,,,,,,,
1029,10 Cherchez La Femme Mars Films Bande-Annonce,101 789,,,,,,,,,,,,,,,,,,,,,,
1030,1 Baywatch - Alerte À Malibu Paramount Pictures France Bande-Annonce,620 061,,,,,,,,,,,,,,,,,,,,,,
1031,6 Les Ex Snd Bande-Annonce,185 922,,,,,,,,,,,,,,,,,,,,,,
1032,"8 Everything, Everything Warner Bros. France Bande-Annonce",129 162,,,,,,,,,,,,,,,,,,,,,,
1033,9 Le Grand Méchant Renard Et Autres Contes Studiocanal Bande-Annonce,125 891,,,,,,,,,,,,,,,,,,,,,,
1034,10 Le Manoir Gaumont Distribution Bande-Annonce,104 758,,,,,,,,,,,,,,,,,,,,,,
1035,1 La Momie Universal Pictures International France Bande-Annonce,474 305,,,,,,,,,,,,,,,,,,,,,,
1036,4 Ce Qui Nous Lie Studiocanal Bande-Annonce,189 571,,,,,,,,,,,,,,,,,,,,,,
1037,8 Nos Patriotes Paname Distribution Bande-Annonce,30 576,,,,,,,,,,,,,,,,,,,,,,
1038,1 Wonder Woman Warner Bros. France Bande-Annonce,755 369,,,,,,,,,,,,,,,,,,,,,,
1039,4 Hhhh Mars Films Bande-Annonce,101 379,,,,,,,,,,,,,,,,,,,,,,
1040,8 The Wall Metropolitan Filmexport Bande-Annonce,45 452,,,,,,,,,,,,,,,,,,,,,,
1041,2 Marie-Francine Gaumont Distribution Bande-Annonce,370 214,,,,,,,,,,,,,,,,,,,,,,
1042,5 Conspiracy Paramount Pictures France Bande-Annonce,122 691,,,,,,,,,,,,,,,,,,,,,,
1043,8 The Jane Doe Identity Wild Bunch Distribution Bande-Annonce,90 482,,,,,,,,,,,,,,,,,,,,,,
1044,1 Pirates Des Caraïbes : La Vengeance De Salazar The Walt Disney Company France Bande-Annonce,1 346 594,,,,,,,,,,,,,,,,,,,,,,
1045,5 L'Amant Double Mars Films Bande-Annonce,119 431,,,,,,,,,,,,,,,,,,,,,,
1046,6 Rodin Wild Bunch Distribution Bande-Annonce,115 220,,,,,,,,,,,,,,,,,,,,,,
1047,1 Le Roi Arthur: La Légende D'Excalibur Warner Bros. France Bande-Annonce,362 905,,,,,,,,,,,,,,,,,,,,,,
1048,4 Les Fantômes D’Ismaël Le Pacte Bande-Annonce,173 994,,,,,,,,,,,,,,,,,,,,,,
1049,1 Alien: Covenant Twentieth Century Fox France Bande-Annonce,675 785,,,,,,,,,,,,,,,,,,,,,,
1050,5 Problemos Studiocanal Bande-Annonce,96 600,,,,,,,,,,,,,,,,,,,,,,
1051,2 Get Out Universal Pictures International France Bande-Annonce,465 265,,,,,,,,,,,,,,,,,,,,,,
1052,5 Braquage À L'Ancienne Warner Bros. France Bande-Annonce,175 604,,,,,,,,,,,,,,,,,,,,,,
1053,1 Les Gardiens De La Galaxie 2 The Walt Disney Company France Bande-Annonce,1 401 339,,,,,,,,,,,,,,,,,,,,,,
1054,6 Jour J Gaumont Distribution Bande-Annonce,190 886,,,,,,,,,,,,,,,,,,,,,,
1055,7 Django Pathé Bande-Annonce,185 696,,,,,,,,,,,,,,,,,,,,,,
1056,9 Aurore Diaphana Distribution Bande-Annonce,154 518,,,,,,,,,,,,,,,,,,,,,,
1057,4 Sous Le Même Toit Europacorp Bande-Annonce,261 235,,,,,,,,,,,,,,,,,,,,,,
1058,6 Life - Origine Inconnue Sony Pictures Releasing France Bande-Annonce,222 132,,,,,,,,,,,,,,,,,,,,,,
1059,1 Fast & Furious 8 Universal Pictures International France Bande-Annonce,1 861 108,,,,,,,,,,,,,,,,,,,,,,
1060,6 Boule & Bill 2 Pathé Bande-Annonce,196 715,,,,,,,,,,,,,,,,,,,,,,
1061,9 C'Est Beau La Vie Quand On Y Pense Ugc Distribution Bande-Annonce,140 490,,,,,,,,,,,,,,,,,,,,,,
1062,10 Un Profil Pour Deux La Belle Company Bande-Annonce,70 305,,,,,,,,,,,,,,,,,,,,,,
1063,3 Les Schtroumpfs Et Le Village Perdu Sony Pictures Releasing France Bande-Annonce,431 955,,,,,,,,,,,,,,,,,,,,,,
1064,4 À Bras Ouverts Snd Bande-Annonce,411 403,,,,,,,,,,,,,,,,,,,,,,
1065,5 Power Rangers Metropolitan Filmexport Bande-Annonce,262 004,,,,,,,,,,,,,,,,,,,,,,
1066,8 Corporate Diaphana Distribution Bande-Annonce,82 630,,,,,,,,,,,,,,,,,,,,,,
1067,1 Baby Boss Twentieth Century Fox France Bande-Annonce,1 059 393,,,,,,,,,,,,,,,,,,,,,,
1068,3 Ghost In The Shell Paramount Pictures France Bande-Annonce,472 608,,,,,,,,,,,,,,,,,,,,,,
1069,4 Gangsterdam Studiocanal Bande-Annonce,215 260,,,,,,,,,,,,,,,,,,,,,,
1070,"6 Telle Mère, Telle Fille Gaumont Distribution Bande-Annonce",123 885,,,,,,,,,,,,,,,,,,,,,,
1071,1 La Belle Et La Bête The Walt Disney Company France Bande-Annonce,1 281 588,,,,,,,,,,,,,,,,,,,,,,
1072,2 Sage Femme Memento Distribution Bande-Annonce,331 215,,,,,,,,,,,,,,,,,,,,,,
1073,4 L'Embarras Du Choix Pathé Bande-Annonce,291 171,,,,,,,,,,,,,,,,,,,,,,
1074,9 Chacun Sa Vie Metropolitan Filmexport Bande-Annonce,207 383,,,,,,,,,,,,,,,,,,,,,,
1075,10 The Lost City Of Z Studiocanal Bande-Annonce,150 045,,,,,,,,,,,,,,,,,,,,,,
1076,1 Kong: Skull Island Warner Bros. France Bande-Annonce,625 572,,,,,,,,,,,,,,,,,,,,,,
1077,5 Les Figures De L'Ombre Twentieth Century Fox France Bande-Annonce,230 488,,,,,,,,,,,,,,,,,,,,,,
1078,8 Monsieur & Madame Adelman Le Pacte Bande-Annonce,126 787,,,,,,,,,,,,,,,,,,,,,,
1079,10 La Confession Snd Bande-Annonce,95 896,,,,,,,,,,,,,,,,,,,,,,
1080,1 Logan Twentieth Century Fox France Bande-Annonce,932 601,,,,,,,,,,,,,,,,,,,,,,
1081,5 Patients Gaumont Distribution Bande-Annonce,309 303,,,,,,,,,,,,,,,,,,,,,,
1082,2 Split Universal Pictures International France Bande-Annonce,594 427,,,,,,,,,,,,,,,,,,,,,,
1083,4 Lion Snd Bande-Annonce,454 909,,,,,,,,,,,,,,,,,,,,,,
1084,9 John Wick 2 Metropolitan Filmexport Bande-Annonce,201 953,,,,,,,,,,,,,,,,,,,,,,
1085,1 Alibi.Com Studiocanal Bande-Annonce,1 124 383,,,,,,,,,,,,,,,,,,,,,,
1086,4 Rock'N Roll Pathé Bande-Annonce,630 004,,,,,,,,,,,,,,,,,,,,,,
1087,9 Underworld - Blood Wars Sony Pictures Releasing France Bande-Annonce,169 417,,,,,,,,,,,,,,,,,,,,,,
1088,10 A Cure For Life Twentieth Century Fox France Bande-Annonce,152 375,,,,,,,,,,,,,,,,,,,,,,
1089,1 Cinquante Nuances Plus Sombres Universal Pictures International France Bande-Annonce,1 618 110,,,,,,,,,,,,,,,,,,,,,,
1090,"5 Lego Batman, Le Film Warner Bros. France Bande-Annonce",346 187,,,,,,,,,,,,,,,,,,,,,,
1091,8 Seuls Studiocanal Bande-Annonce,193 449,,,,,,,,,,,,,,,,,,,,,,
1092,10 Silence Metropolitan Filmexport Bande-Annonce,163 009,,,,,,,,,,,,,,,,,,,,,,
1093,1 Raid Dingue Pathé Bande-Annonce,1 468 155,,,,,,,,,,,,,,,,,,,,,,
1094,5 Le Cercle - Rings Paramount Pictures France Bande-Annonce,235 611,,,,,,,,,,,,,,,,,,,,,,
1095,7 Sahara Studiocanal Bande-Annonce,215 181,,,,,,,,,,,,,,,,,,,,,,
1096,9 Jackie Bac Films Bande-Annonce,193 995,,,,,,,,,,,,,,,,,,,,,,
1097,1 Tous En Scène Universal Pictures International France Bande-Annonce,805 197,,,,,,,,,,,,,,,,,,,,,,
1098,2 La La Land Snd Bande-Annonce,754 534,,,,,,,,,,,,,,,,,,,,,,
1099,3 L'Ascension Mars Films Bande-Annonce,344 858,,,,,,,,,,,,,,,,,,,,,,
1100,7 Resident Evil : Chapitre Final Metropolitan Filmexport Bande-Annonce,174 825,,,,,,,,,,,,,,,,,,,,,,
1101,1 Il A Déjà Tes Yeux Ugc Distribution Bande-Annonce,455 096,,,,,,,,,,,,,,,,,,,,,,
1102,2 Xxx : Reactivated Paramount Pictures France Bande-Annonce,450 091,,,,,,,,,,,,,,,,,,,,,,
1103,3 Un Sac De Billes Gaumont Distribution Bande-Annonce,406 076,,,,,,,,,,,,,,,,,,,,,,
1104,7 Live By Night Warner Bros. France Bande-Annonce,141 441,,,,,,,,,,,,,,,,,,,,,,
1105,1 La Grande Muraille Universal Pictures International France Bande-Annonce,375 857,,,,,,,,,,,,,,,,,,,,,,
1106,2 Dalida Pathé Bande-Annonce,346 642,,,,,,,,,,,,,,,,,,,,,,
1107,8 La Mécanique De L'Ombre Océan Films Bande-Annonce,124 675,,,,,,,,,,,,,,,,,,,,,,
1108,6 Nocturnal Animals Universal Pictures International France Bande-Annonce,124 137,,,,,,,,,,,,,,,,,,,,,,
1109,9 Don'T Tell Her Sony Pictures Releasing France Bande-Annonce,103 484,,,,,,,,,,,,,,,,,,,,,,
1110,10 Mes Trésors Snd Bande-Annonce,99 200,,,,,,,,,,,,,,,,,,,,,,
1111,3 Passengers Sony Pictures Releasing France Bande-Annonce,586 756,,,,,,,,,,,,,,,,,,,,,,
1112,10 Père Fils Thérapie ! Ugc Distribution Bande-Annonce,154 177,,,,,,,,,,,,,,,,,,,,,,
1113,3 Assassin'S Creed Twentieth Century Fox France Bande-Annonce,881 017,,,,,,,,,,,,,,,,,,,,,,
1114,6 À Fond Wild Bunch Distribution Bande-Annonce,386 345,,,,,,,,,,,,,,,,,,,,,,
1115,8 Norm La Belle Company Bande-Annonce,259 795,,,,,,,,,,,,,,,,,,,,,,
1116,1 Rogue One: A Star Wars Story The Walt Disney Company France Bande-Annonce,1 798 117,,,,,,,,,,,,,,,,,,,,,,
1117,4 Ballerina Gaumont Distribution Bande-Annonce,542 443,,,,,,,,,,,,,,,,,,,,,,
1118,9 Manchester By The Sea Universal Pictures International France Bande-Annonce,108 185,,,,,,,,,,,,,,,,,,,,,,
1119,2 Demain Tout Commence Mars Films Bande-Annonce,626 789,,,,,,,,,,,,,,,,,,,,,,
1120,3 Papa Ou Maman 2 Pathé Bande-Annonce,391 706,,,,,,,,,,,,,,,,,,,,,,
1121,5 Premier Contact Sony Pictures Releasing France Bande-Annonce,300 058,,,,,,,,,,,,,,,,,,,,,,
1122,9 Baccalauréat Le Pacte Bande-Annonce,49 823,,,,,,,,,,,,,,,,,,,,,,
1123,3 Sully Warner Bros. France Bande-Annonce,505 048,,,,,,,,,,,,,,,,,,,,,,
1124,8 Oppression Europacorp Distribution Bande-Annonce,56 727,,,,,,,,,,,,,,,,,,,,,,
1125,2 Alliés Paramount Pictures France Bande-Annonce,463 630,,,,,,,,,,,,,,,,,,,,,,
1126,3 La Fille De Brest Haut Et Court Bande-Annonce,167 114,,,,,,,,,,,,,,,,,,,,,,
1127,1 Les Animaux Fantastiques Warner Bros. France Bande-Annonce,1 420 401,,,,,,,,,,,,,,,,,,,,,,
1128,2 Les Têtes De L'Emploi Europacorp Distribution Bande-Annonce,238 777,,,,,,,,,,,,,,,,,,,,,,
1129,9 Le Petit Locataire Diaphana Distribution Bande-Annonce,104 962,,,,,,,,,,,,,,,,,,,,,,
1130,10 Iris Universal Pictures International France Bande-Annonce,102 231,,,,,,,,,,,,,,,,,,,,,,
1131,1 Inferno Sony Pictures Releasing France Bande-Annonce,464 722,,,,,,,,,,,,,,,,,,,,,,
1132,3 Ma Famille T'Adore Déjà Pathé Le Teaser,307 513,,,,,,,,,,,,,,,,,,,,,,
1133,6 Tu Ne Tueras Point Metropolitan Filmexport Bande-Annonce,216 473,,,,,,,,,,,,,,,,,,,,,,
1134,5 Mr Wolff Warner Bros. France Bande-Annonce,180 488,,,,,,,,,,,,,,,,,,,,,,
1135,8 Ouija : Les Origines Universal Pictures International France Bande-Annonce,167 060,,,,,,,,,,,,,,,,,,,,,,
1136,1 Doctor Strange The Walt Disney Company France Bande-Annonce,1 001 793,,,,,,,,,,,,,,,,,,,,,,
1137,5 Tamara Ugc Distribution Bande-Annonce,423 077,,,,,,,,,,,,,,,,,,,,,,
1138,"9 Moi, Daniel Blake Le Pacte Bande-Annonce",273 309,,,,,,,,,,,,,,,,,,,,,,
1139,1 Brice 3 Gaumont Distribution Bande-Annonce,1 100 295,,,,,,,,,,,,,,,,,,,,,,
1140,2 Les Trolls Twentieth Century Fox France Bande-Annonce,976 227,,,,,,,,,,,,,,,,,,,,,,
1141,4 Jack Reacher : Never Go Back Paramount Pictures France Bande-Annonce,489 442,,,,,,,,,,,,,,,,,,,,,,
1142,9 Mal De Pierres Studiocanal Bande-Annonce,283 843,,,,,,,,,,,,,,,,,,,,,,
1143,10 Ma Vie De Courgette Gebeka Films Bande-Annonce,190 027,,,,,,,,,,,,,,,,,,,,,,
1144,2 L'Odyssée Wild Bunch Distribution Bande-Annonce,445 363,,,,,,,,,,,,,,,,,,,,,,
1145,5 Cigognes Et Compagnie Warner Bros. France Bande-Annonce,197 528,,,,,,,,,,,,,,,,,,,,,,
1146,6 Deepwater Snd Bande-Annonce,174 284,,,,,,,,,,,,,,,,,,,,,,
1147,7 Captain Fantastic Mars Films Bande-Annonce,111 259,,,,,,,,,,,,,,,,,,,,,,
1148,1 Miss Peregrine Et Les Enfants Particuliers Twentieth Century Fox France Bande-Annonce,754 984,,,,,,,,,,,,,,,,,,,,,,
